T_Bottom,Time,X,Y,Temp(degC)
100,1.5,50,1.52,99.7015019
100,1.5,50,1.54,99.69854755
100,1.5,50,1.56,99.69560463
100,1.5,50,1.58,99.69267315
100,1.5,50,1.6,99.6897531
100,1.5,50,1.62,99.68684447
100,1.5,50,1.64,99.68394728
100,1.5,50,1.66,99.68106153
100,1.5,50,1.68,99.6781872
100,1.5,50,1.7,99.6753243
100,1.5,50,1.72,99.67247284
100,1.5,50,1.74,99.66963281
100,1.5,50,1.76,99.66680421
100,1.5,50,1.78,99.6611813
100,1.5,50,1.8,99.658387
100,1.5,50,1.82,99.65560412
100,1.5,50,1.84,99.65283268
100,1.5,50,1.86,99.65007267
100,1.5,50,1.88,99.64732409
100,1.5,50,1.9,99.64458694
100,1.5,50,1.92,99.64186123
100,1.5,50,1.94,99.63914694
100,1.5,50,1.96,99.63644409
100,1.5,50,1.98,99.63375267
100,1.5,50,2,99.63107268
100,2,50,0.02,100
100,2,50,0.04,99.99340971
100,2,50,0.06,99.98692585
100,2,50,0.08,99.98054843
100,2,50,0.1,99.97427745
100,2,50,0.12,99.9681129
100,2,50,0.14,99.96205479
100,2,50,0.16,99.95610312
100,2,50,0.18,99.95025788
100,2,50,0.2,99.94451908
100,2,50,0.22,99.93888672
100,2,50,0.24,99.93336079
100,2,50,0.26,99.9279413
100,2,50,0.28,99.92262825
100,2,50,0.3,99.91742163
100,2,50,0.32,99.91232146
100,2,50,0.34,99.90732771
100,2,50,0.36,99.90244041
100,2,50,0.38,99.89765954
100,2,50,0.4,99.89298511
100,2,50,0.42,99.88841711
100,2,50,0.44,99.88395555
100,2,50,0.46,99.87960043
100,2,50,0.48,99.87535175
100,2,50,0.5,99.8712095
100,2,50,0.52,99.86717369
100,2,50,0.54,99.86294976
100,2,50,0.56,99.85875319
100,2,50,0.58,99.85458399
100,2,50,0.6,99.85044216
100,2,50,0.62,99.84632769
100,2,50,0.64,99.84224059
100,2,50,0.66,99.83818086
100,2,50,0.68,99.83414849
100,2,50,0.7,99.83014349
100,2,50,0.72,99.82616585
100,2,50,0.74,99.82221558
100,2,50,0.76,99.81829267
100,2,50,0.78,99.81439713
100,2,50,0.8,99.81052896
100,2,50,0.82,99.80668815
100,2,50,0.84,99.80287471
100,2,50,0.86,99.79908864
100,2,50,0.88,99.79532992
100,2,50,0.9,99.79159858
100,2,50,0.92,99.7878946
100,2,50,0.94,99.78421799
100,2,50,0.96,99.78056874
100,2,50,0.98,99.77694686
100,2,50,1,99.77335235
100,2,50,1.02,99.7697852
100,2,50,1.04,99.76622468
100,2,50,1.06,99.76268075
100,2,50,1.08,99.75915342
100,2,50,1.1,99.75564267
100,2,50,1.12,99.75214852
100,2,50,1.14,99.74867096
100,2,50,1.16,99.74520999
100,2,50,1.18,99.74176561
100,2,50,1.2,99.73833782
100,2,50,1.22,99.73492663
100,2,50,1.24,99.73153203
