T_Bottom,Time,X,Y,Temp(degC)
100,1.5,0,1.42,99.71648029
100,1.5,0,1.44,99.71345234
100,1.5,0,1.46,99.71044063
100,1.5,0,1.48,99.70744517
100,1.5,0,1.5,99.70446595
100,1.5,0,1.52,99.70150296
100,1.5,0,1.54,99.69854849
100,1.5,0,1.56,99.69560545
100,1.5,0,1.58,99.69267384
100,1.5,0,1.6,99.68975367
100,1.5,0,1.62,99.68684494
100,1.5,0,1.64,99.68394765
100,1.5,0,1.66,99.68106179
100,1.5,0,1.68,99.67818736
100,1.5,0,1.7,99.67532438
100,1.5,0,1.72,99.67247283
100,1.5,0,1.74,99.66963271
100,1.5,0,1.76,99.66680403
100,1.5,0,1.78,99.66118099
100,1.5,0,1.8,99.65838662
100,1.5,0,1.82,99.65560368
100,1.5,0,1.84,99.65283219
100,1.5,0,1.86,99.65007212
100,1.5,0,1.88,99.6473235
100,1.5,0,1.9,99.64458631
100,1.5,0,1.92,99.64186056
100,1.5,0,1.94,99.63914624
100,1.5,0,1.96,99.63644336
100,1.5,0,1.98,99.63375192
100,1.5,0,2,99.63107191
100,2,0,0.02,100
100,2,0,0.04,99.99340704
100,2,0,0.06,99.98692074
100,2,0,0.08,99.98054111
100,2,0,0.1,99.97426814
100,2,0,0.12,99.96810183
100,2,0,0.14,99.96204219
100,2,0,0.16,99.95608921
100,2,0,0.18,99.95024289
100,2,0,0.2,99.94450324
100,2,0,0.22,99.93887024
100,2,0,0.24,99.93334392
100,2,0,0.26,99.92792425
100,2,0,0.28,99.92261125
100,2,0,0.3,99.91740491
100,2,0,0.32,99.91230524
100,2,0,0.34,99.90731223
100,2,0,0.36,99.90242588
100,2,0,0.38,99.8976462
100,2,0,0.4,99.89297318
100,2,0,0.42,99.88840682
100,2,0,0.44,99.88394712
100,2,0,0.46,99.87959409
100,2,0,0.48,99.87534773
100,2,0,0.5,99.87120802
100,2,0,0.52,99.86717498
100,2,0,0.54,99.86295042
100,2,0,0.56,99.8587533
100,2,0,0.58,99.85458363
100,2,0,0.6,99.85044141
100,2,0,0.62,99.84632663
100,2,0,0.64,99.84223931
100,2,0,0.66,99.83817943
100,2,0,0.68,99.834147
100,2,0,0.7,99.83014201
100,2,0,0.72,99.82616448
100,2,0,0.74,99.82221439
100,2,0,0.76,99.81829174
100,2,0,0.78,99.81439655
100,2,0,0.8,99.8105288
100,2,0,0.82,99.8066885
100,2,0,0.84,99.80287565
100,2,0,0.86,99.79909024
100,2,0,0.88,99.79533229
100,2,0,0.9,99.79160178
100,2,0,0.92,99.78789871
100,2,0,0.94,99.7842231
100,2,0,0.96,99.78057493
100,2,0,0.98,99.77695421
100,2,0,1,99.77336094
100,2,0,1.02,99.76979511
100,2,0,1.04,99.76623405
100,2,0,1.06,99.76268959
100,2,0,1.08,99.75916175
100,2,0,1.1,99.75565051
100,2,0,1.12,99.75215587
100,2,0,1.14,99.74867785
100,2,0,1.16,99.74521643
100,2,0,1.18,99.74177162
100,2,0,1.2,99.73834341
100,2,0,1.22,99.73493182
100,2,0,1.24,99.73153683
100,2,0,1.26,99.72815845
100,2,0,1.28,99.72479667
100,2,0,1.3,99.7214515
100,2,0,1.32,99.71812294
100,2,0,1.34,99.71481099
100,2,0,1.36,99.71151565
100,2,0,1.38,99.70823691
100,2,0,1.4,99.70497478
100,2,0,1.42,99.70172925
100,2,0,1.44,99.69850034
100,2,0,1.46,99.69528803
100,2,0,1.48,99.69209233
100,2,0,1.5,99.68891323
100,2,0,1.52,99.68575075
100,2,0,1.54,99.68259722
100,2,0,1.56,99.67945562
100,2,0,1.58,99.67632597
100,2,0,1.6,99.67320825
100,2,0,1.62,99.67010247
100,2,0,1.64,99.66700863
100,2,0,1.66,99.66392674
100,2,0,1.68,99.66085677
100,2,0,1.7,99.65779875
100,2,0,1.72,99.65475267
100,2,0,1.74,99.65171853
100,2,0,1.76,99.64869632
100,2,0,1.78,99.64268773
100,2,0,1.8,99.63970134
100,2,0,1.82,99.63672689
100,2,0,1.84,99.63376438
100,2,0,1.86,99.63081381
100,2,0,1.88,99.62787518
100,2,0,1.9,99.62494848
100,2,0,1.92,99.62203373
100,2,0,1.94,99.61913091
100,2,0,1.96,99.61624003
100,2,0,1.98,99.61336109
100,2,0,2,99.6104941
100,2.5,0,0.02,100
100,2.5,0,0.04,99.99336294
100,2.5,0,0.06,99.98683257
100,2.5,0,0.08,99.98040887
100,2.5,0,0.1,99.97409185
100,2.5,0,0.12,99.96788151
100,2.5,0,0.14,99.96177784
100,2.5,0,0.16,99.95578086
100,2.5,0,0.18,99.94989055
100,2.5,0,0.2,99.94410693
100,2.5,0,0.22,99.93842998
100,2.5,0,0.24,99.93285971
100,2.5,0,0.26,99.92739612
100,2.5,0,0.28,99.92203921
100,2.5,0,0.3,99.91678897
100,2.5,0,0.32,99.91164542
100,2.5,0,0.34,99.90660854
100,2.5,0,0.36,99.90167834
100,2.5,0,0.38,99.89685482
100,2.5,0,0.4,99.89213798
